id,full_name,description,size,stargazers_count,language,has_projects,has_pages,has_discussions,archived,license,topics,forks,open_issues,watchers,vader_sentiment,sentiment_bin
63476337,thealgorithms python,all algorithms implemented in python,15484,206847,python,1,1,1,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,algorithm algorithm competitions algorithms implemented algos community driven education hacktoberfest interview learn practice python searches sorting algorithms sorts,47760,395,206847,0.0,Neutral
2881789,geekcomputers python,my python examples,44062,33891,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,12726,448,33891,0.0,Neutral
93629835,walter python,python,630,23578,missing,1,0,0,0,missing,python python,5324,139,23578,0.0,Neutral
61815141,injetlee python,python excel,7007,10262,python,1,0,0,0,missing,crawler excel python wechat,4260,114,10262,0.4588,Positive
72473727,kubernetes client python,official python client library for kubernetes,28689,7320,python,1,0,0,0,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,client python k s k s sig api machinery kubernetes library,3407,93,7320,0.0,Neutral
27247448,show me the code python,show me the code python version,110745,4121,html,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,2775,198,4121,0.0,Neutral
136550454,gxcuizy python,python python,98744,4727,python,1,0,0,0,missing,python python,1432,7,4727,0.0,Neutral
5698643,flypythoncom python,python is all you need,14193,3840,html,1,1,1,0,missing,gpt learning python python python book python course,1378,2,3840,0.0,Neutral
17274389,exercism python,exercism exercises in python,7735,2209,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,community contributions paused exercism track maintained autonomous,1411,34,2209,0.0,Neutral
37439338,joeyajames python,python code for youtube videos,1554,1769,jupyter notebook,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,1381,98,1769,0.0,Neutral
21054928,docker library python,docker official image packaging for python,2053,2676,shell,1,0,1,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,,1101,29,2676,0.0,Neutral
65388917,jakevdp pythondatasciencehandbook,python data science handbook full text in jupyter notebooks,43642,45413,jupyter notebook,1,1,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,jupyter notebook matplotlib numpy pandas python scikit learn,18468,226,45413,0.0,Neutral
183729552,tanu n prabhu python,this repository helps you learn python and machine learning from scratch,79513,1691,jupyter notebook,1,0,1,0,missing,data data analysis data visualization dataanalysis datascraping google colab google colab notebook jupyter notebook machine learning machine learning algorithms numpy numpy arrays pandas dataframe prediction python python python,823,4,1691,0.3818,Positive
54376220,atsushisakai pythonrobotics,python sample codes and textbook for robotics algorithms,303758,25824,python,1,1,1,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,algorithm animation autonomous driving autonomous navigation autonomous vehicles control cvxpy ekf hacktoberfest localization mapping path planning python robot robotics slam,6876,16,25824,0.0,Neutral
21289110,vinta awesome python,an opinionated list of awesome python frameworks libraries software and resources,6839,259078,python,0,1,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,awesome collections python python framework python library python resources,26273,490,259078,0.6249,Positive
123458551,jackfrued python days,python,396875,172038,jupyter notebook,1,0,0,0,missing,,54518,738,172038,0.0,Neutral
121291758,pierian data complete python bootcamp,course files for complete python bootcamp course on udemy,52492,28934,jupyter notebook,1,0,0,0,missing,,87227,253,28934,0.0,Neutral
35258834,xueweihan python,python learn python the hard way,109,1319,python,1,0,0,0,missing,python,422,3,1319,-0.1027,Negative
3720903,poise python,this cookbook is deprecated chef cookbook to install python and related tools,6119,582,python,1,0,0,1,key apache name apache license spdx id apache url https api github com licenses apache node id mdc tgljzw zzti,,604,2,582,0.0,Neutral
179152420,wistbean learn python spider,python python app fiddler mitmproxy requests beautifulsoup selenium appium scrapy ip mysql mongodb python css js,22617,20547,python,1,0,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,python script python spider python,3878,38,20547,0.0,Neutral
35655353,michaelliao learn python,learn python sample code,238,6404,missing,0,1,0,0,key gpl name gnu general public license v spdx id gpl url https api github com licenses gpl node id mdc tgljzw zztg,python python,4809,24,6404,0.0,Neutral
23095149,yidao c python cookbook,python cookbook rd edition translation,4366,11956,jupyter notebook,1,0,0,0,missing,python python python cookbook readthedocs,2981,71,11956,0.0,Neutral
136566985,yonv python,demo and other python code,32429,694,python,1,0,0,0,missing,,353,23,694,0.0,Neutral
259842566,jack cherish pythonpark,python ai,2886,10700,python,1,0,0,0,missing,deep learning deeplearning python python spider python pytorch webspider,1659,3,10700,0.0,Neutral
4578002,faif python patterns,a collection of design patterns idioms in python,3810,42064,python,1,0,0,0,missing,design patterns idioms python,7046,16,42064,0.0,Neutral
118861276,gto python cheatsheet,comprehensive python cheatsheet,12765,37696,python,1,1,1,0,missing,cheatsheet python python cheatsheet reference,6670,22,37696,0.25,Positive
41011982,lining pythonspidernotes,python,7343,7293,python,1,0,0,0,missing,captcha cookie python scrapy selenium wechat zhihu,2167,11,7293,0.0,Neutral
29669427,zhanghe python,python,19228,483,python,1,0,0,0,missing,,306,18,483,0.0,Neutral
259182514,meshtastic python,the python cli and api for talking to meshtastic devices,3967,633,python,0,0,0,0,key gpl name gnu general public license v spdx id gpl url https api github com licenses gpl node id mdc tgljzw zztk,meshtastic meshtastic python,264,101,633,0.0,Neutral
1481305,realpython python guide,python best practices guidebook written for humans,6901,29217,batchfile,1,0,0,0,key other name other spdx id noassertion url none node id mdc tgljzw zzta,book guide python,5890,126,29217,0.6369,Positive
131706958,jerry git learn python,jupyter notebooks for teaching learning python,1558,6673,html,1,1,0,0,key mit name mit license spdx id mit url https api github com licenses mit node id mdc tgljzw zztez,jupyter notebook learning python python exercises python teaching materials,1809,6,6673,0.0,Neutral
195336284,adi python,snake python programs,15092,79,jupyter notebook,1,0,0,0,missing,,546,8,79,0.0,Neutral
90349239,jack cherish python spider,rainbow python b,1277,19117,python,0,0,0,0,missing,python python spider python webspider,5985,21,19117,0.0,Neutral
